course_id,yards_from_pin,into_hole
14900,520.67,0
14900,16.54,0
14900,460.79,0
14900,71.69,0
14900,32.17,0
14900,29.04,0
14900,373.36,0
14900,390.5,0
14900,486.62,0
14900,30.01,0
14900,673.64,0
14900,32.17,0
14900,177.68,0
14900,440.98,0
14900,277.64,0
14900,479.54,0
14900,290.63,0
14900,277.64,0
14900,442.34,0
14900,288.89,0
14900,19,0
14900,156.01,0
14900,296.01,0
14900,411.38,0
14900,301.63,0
14900,25.08,0
14900,767.67,0
14900,433.77,0
14900,242.96,0
14900,213.41,0
14900,307.86,0
14900,2.13,0
14900,393.22,0
14900,336.81,0
14900,349.66,0
14900,90.99,0
14900,497.63,0
14900,458.37,0
14900,335.52,0
14900,9.62,0
14900,297.13,0
14900,269.14,0
14900,854.05,0
14900,321.97,0
14900,349.19,0
14900,348.05,0
14900,365,0
14900,14.23,0
14900,314.6,0
14900,295.21,0
14900,345.6,0
14900,452.12,0
14900,223.39,0
14900,33.68,0
14900,64,0
14900,270.82,0
14900,597.44,0
14900,237.52,0
14900,149.85,0
14900,177.51,0
14900,387.63,0
14900,49.28,0
14900,310.86,0
14900,350.08,0
14900,579.89,0
14900,0.59,0
14900,396.03,0
14900,854.05,0
14900,353.06,0
14900,485.34,0
14900,324.59,0
14900,456.69,0
14900,274.22,0
14900,463.06,0
14900,319.33,0
14900,315.57,0
14900,82.71,0
14900,211.31,0
14900,215.25,0
14900,251.24,0
14900,327.32,0
14900,407.77,0
14900,306.93,0
14900,408.86,0
14900,329.77,0
14900,58.73,0
14900,533.3,0
14900,180.32,0
14900,479.55,0
14900,11.19,0
14900,480.16,0
14900,30.56,0
14900,208.74,0
14900,261.92,0
14900,391.36,0
14900,174.09,0
14900,198.4,0
14900,558.48,0
14900,341.21,0
14900,291.88,0
14900,454.87,0
14900,240.33,0
14900,546.21,0
14900,188.53,0
14900,65.62,0
14900,556.58,0
14900,79.84,0
14900,261.28,0
14900,396.17,0
14900,385.13,0
14900,854.05,0
14900,34.77,0
14900,40.4,0
14900,618.61,0
14900,266.69,0
14900,289.8,0
14900,297.16,0
